place_id,term,rank,mention_count,avg_context_sentiment,positive_context_count,negative_context_count,positive_ratio,negative_ratio,top_positive_review_text,top_positive_review_likes,top_negative_review_text,top_negative_review_likes
rebirth,餐點,1,357,0.28851540616246496,81,10,0.226890756302521,0.028011204481792718,"餐點美味沒話說,但用餐體驗是真的糟,糟到值得不要再訪 結論來說就是,如果針對食物,值得一訪,但初訪的人即可能會遇到以下情形 猶記很久以前還是波黑米亞,換手後每次騎車經過總想著來這邊試試看餐食 今天找到時間終於造訪,內部格局基本沒變,氣氛歡樂 首先能理解店內忙碌狀況,然而針對餐點部分,會希望有個簡單的介紹(針對初次造訪的客人,或者至少詢問有無需要介紹),但沒有就是把人晾著然後點餐 這還可以,畢竟牆面字體些許凌亂仍可識別 然後對,餐點很美味,除了湯品有點困惑(相較配菜與主菜的高水準) 用完餐想像是會提供點單的飲品同時協助收走餐點,但 等了不知道多久(沒有無聊到還特別去計時)這件事情都沒有發生,一度還困惑是需要自己把餐點拿去哪裡回收嗎? 往隔壁的隔壁看,晚到的一組客人飲品早就已經上了,但點的是熱拿鐵,又時不時有作咖啡的機器聲,且夜還很長,總想著""恩,接下來做的這杯應該是我的""就也沒特別去問 但結果果然是忘記了,不只是忘記要做,連點了什麼都不記得。再次,能理解單多會疏漏,但唯一的外場那位仁兄活力四射,還在跟其他客人各種拍照開玩笑話什麼的,希望他可以先把最基本的業務內容做好(即,記得點了什麼單,然後在合理時間內出餐),有餘力再來做這些額外的加值體驗 雖妄下定論可能有些武斷,但那應是店家認識或熟識的客人,給人一種針對熟識與否的客人用心程度不一的強烈落差感。確實這位仁兄有針對漏單致歉,但整體體感仍是很差。",13,外面的沙發很髒! 不要坐! 還沒開門時會有遊民躺在外面兩個沙發上睡覺... 讓我懷疑裡面衛生也不是很好 果然廚房看起來也很髒 不是很乾淨餐點:5服務:5氣氛:1,2.0
rebirth,服務,2,216,0.2037037037037037,39,4,0.18055555555555555,0.018518518518518517,"18.以前提供飲品,18.以後才開始可以點餐,餐點會每天更新在黑板上,餐點特別又好吃份量也足夠,但因為老闆一次只做一份,所以等待的時間真的很久,需要做好心理準備。 飲品的部分搭配餐點皆為90元(酒類除外),店內環境偏昏暗,基本上左右看一下應該可以找到插座,也有提供WiFi,聚餐聊天、辦公看書、發呆都適合,而且還營業到很晚。比較大的缺點大概是環境偏老舊,還有油煙味重,對油煙敏感的人可能比較不友善😢 除此之外,真的很推薦他們的餐點! 當天點的餐: 🐑羊肉夏卡蘇卡- 查了一下才知道夏卡蘇卡是地中海地區的番茄水波蛋料理,有點難形容內容物有什麼,但很喜歡那種番茄充滿香料的味道,帶皮羊肉很有存在感也很嫩,搭配的烤吐司也不馬乎(這道菜是配吐司不是白飯),整體就很👍 🍝大阪風炒麵-這道跟我想像的日本炒麵不太一樣,使用粗麵,麵體硬,醬汁多也很有味道,炒一些洋蔥、菜、肉,肉也很大塊!搭配有小菜(生魚片)剛湯(有菇跟白蘿蔔),美中不足的是湯冷掉了😢 飲品點了草莓牛奶跟熱奶茶,冰的草莓牛奶打的有點像奶昔那樣覺得有點太濃郁,草莓味道也不太突出,不過是好喝的。熱奶茶上面也有鋪一層應該是焦糖還黑糖之類的,熱熱好喝。服務內用餐點類型晚餐平均每人消費金額$200-400餐點:5服務:5氣氛:3建議的餐點燒哈里薩羊肉夏卡蘇卡",5,"這是個很奇妙的地方,會讓你有種明明是在咖啡店但卻像是在熱炒店的感覺。 基本咖啡已經不是重點了,也不推薦對咖啡很講究和有文青包袱的人來。 餐點的部分很奇妙,菜單都在那寫的很凌亂的黑板上,出餐很慢,但是讓話匣子停不下的人能火力全開,然後出餐時,話也講的差不多了,這正是可以好好用餐的好時機。 記得,不要催老闆,不要嫌店內不乾淨,不要覺得店內太吵,不要認為店內員工服務態度不佳。 餐點的部分,這絕對不是最好吃的一間,但我可以用我的腰圍保證,老闆從那二坪到的廚房裡弄出來的東西絕對是他媽最有靈魂的店家之一,從餐點的火候之中,可以感覺到在約十坪大的店裡,有好幾張口等著吃飯的壓力,用料方面很隨興但是卻不隨便,即便等待時的話題已經從內子宮聊到外太空,但是東西一入口仍然可以感受老闆是用生命在做菜的那股力量。 今天我點的是炒麵。在點菜時有問了一下服務人員什麼是招牌,她簡單的把黑板上的菜色介紹一遍,但在那當下其實我也聽不太懂,後來就問她有什麼東西是最不健康,最容易三高,吃起來最開心的,於是她就不假思索的推薦了炒麵。 炒麵的內容很奇特,他用了很下酒菜的原素,花生,酸菜,小魚乾,另外加了老虎醬,是一道可以吃飽適合聊天的下酒菜,開胃也開話匣子,每個食材每一口在嘴裡就像是這家店的氛圍一樣熱鬧。 最後,看了一些評論,有人認為這是被咖啡耽誤的熱炒高手,在我心裡有更深一層對老闆的敬意,這是家氣氛跟餐點很到位的咖啡店,適合話癆,愛大聲講髒話,話語沒有邊界的人可以坐下好好開口聊天及吃飯的好地方。",13.0
rebirth,好吃,3,156,1.3878205128205128,151,1,0.967948717948718,0.00641025641025641,"真的太太太喜歡這間店了,前後想吃老闆的料理但撲空好幾次後,這次終於順利吃到了,想吃老闆好手藝的人記得要預約晚餐時間喔!(超重要,每次都是因為供餐僅晚餐所以只能含淚等下次) 跟一般咖啡店不同,店內雖然小小的,位置也有點擠,東西有點雜,漫畫有點多,可是老闆跟客人之間的距離好近,每個進來的人都很熱絡的跟老闆聊天,我覺得很酷! Rebirth沒有menu,餐點是寫在黑板上,正餐餐點我猜會根據每天備料不同會有點不同(我們當天就沒有獵人燉雞),如果很苦惱吃什麼的話,也可以請小帥哥幫忙介紹,但小帥哥不會特別推薦吃哪道,因為每道都有它值得品嚐的地方。 這次我們點了: 🍹情人果茶:渣渣的感覺有點明顯,但茶感突出,少了點情人果的酸感,不錯喝 🍹冰檸啡:因為很多人推薦,所以這次大膽點了西西里,我覺得balence還算可以,搭配上用餐時間,也不會覺得吃起來太膩 🍰奶酪醬烤肉桂卷:我的天,是OMG的好吃!如果是肉桂卷粉真的不要錯過,上面奶酪醬配上肉桂味真的好讚,為了不要讓口感太奶味,肉桂捲裡有包著薄荷葉,完全達到了畫龍點睛的效果,幸福中帶著清涼感!連不愛吃肉桂捲的友人都可以三下五除二的完食,大推 🥢凱麗式葡國雞:不愛吃椰奶風味的我,這次鬼使神差地點了這道葡國雞,實在是因為葡國雞這個名字無法讓我想象出是什麼樣的料理,小菜還有雞卷+蒜味小黃瓜,絞肉也不愛的我都不得不說好好吃 🥢蔥柳川豆腐:酸菜湯!五告好喝!老闆招牌貓飯也是無法割捨,要不是因為是朋友點的餐,真的很想再多挖幾口豆腐來吃 📍我只能說是一家相見恨晚的店,從小帥哥到老闆都很注意客人的狀態,讓我印象深刻的是我旁邊的女生說想點熱茶喝,小帥哥馬上反應是否要將冰水換成常溫水,雖然是小細節,但我覺得很不錯。 深夜不知道去哪但又想吃好吃的料理真的不用猶豫了,Rebirth開著溫暖的燈等著夜貓上門呢!服務內用餐點類型晚餐平均每人消費金額$400-600",14,等很久 個人認為不好吃 如果能重來 我寧願去吃附近的霞飛驛 然後餐廳風格很有個性 只是讓我覺得不太乾淨而已,1.0
rebirth,氣氛,4,132,0.20833333333333334,21,0,0.1590909090909091,0.0,外面的沙發很髒! 不要坐! 還沒開門時會有遊民躺在外面兩個沙發上睡覺... 讓我懷疑裡面衛生也不是很好 果然廚房看起來也很髒 不是很乾淨餐點:5服務:5氣氛:1,2,,
rebirth,晚餐,5,92,0.16304347826086957,13,1,0.14130434782608695,0.010869565217391304,"氣氛很吃電波的一家店,個人是愛死店家的創意和亂到不行的黑板,簡直美味雷達響翻天,餐點口味真的很獨特,記得要預約,每日黑板都是驚喜,晚餐等個一小時都值得,香料羊肉刈包還有唐揚雞飯 夢露式咖喱魚麵 凱麗式葡國雞服務內用餐點類型晚餐平均每人消費金額$200-400餐點:5服務:4氣氛:4",6,"環境很髒亂設備也很舊,座位空間很小,廚房超級髒!!!髒到看到環境不敢吃晚餐,點了飲料很難喝,空氣非常非常不好,外面抽菸的味道與油煙的味道讓人無法呼吸...服務內用餐點類型其他平均每人消費金額$1-200",0.0
rebirth,內用,6,91,0.23626373626373626,17,2,0.18681318681318682,0.02197802197802198,"18.以前提供飲品,18.以後才開始可以點餐,餐點會每天更新在黑板上,餐點特別又好吃份量也足夠,但因為老闆一次只做一份,所以等待的時間真的很久,需要做好心理準備。 飲品的部分搭配餐點皆為90元(酒類除外),店內環境偏昏暗,基本上左右看一下應該可以找到插座,也有提供WiFi,聚餐聊天、辦公看書、發呆都適合,而且還營業到很晚。比較大的缺點大概是環境偏老舊,還有油煙味重,對油煙敏感的人可能比較不友善😢 除此之外,真的很推薦他們的餐點! 當天點的餐: 🐑羊肉夏卡蘇卡- 查了一下才知道夏卡蘇卡是地中海地區的番茄水波蛋料理,有點難形容內容物有什麼,但很喜歡那種番茄充滿香料的味道,帶皮羊肉很有存在感也很嫩,搭配的烤吐司也不馬乎(這道菜是配吐司不是白飯),整體就很👍 🍝大阪風炒麵-這道跟我想像的日本炒麵不太一樣,使用粗麵,麵體硬,醬汁多也很有味道,炒一些洋蔥、菜、肉,肉也很大塊!搭配有小菜(生魚片)剛湯(有菇跟白蘿蔔),美中不足的是湯冷掉了😢 飲品點了草莓牛奶跟熱奶茶,冰的草莓牛奶打的有點像奶昔那樣覺得有點太濃郁,草莓味道也不太突出,不過是好喝的。熱奶茶上面也有鋪一層應該是焦糖還黑糖之類的,熱熱好喝。服務內用餐點類型晚餐平均每人消費金額$200-400餐點:5服務:5氣氛:3建議的餐點燒哈里薩羊肉夏卡蘇卡",5,"餐點很特別老闆很有個性,因為只有老闆一人在準備所以餐點得等很久,是一家很有風味的小店,但是外面有人抽煙頗困擾(會從門口飄進店裡很不舒服服務內用餐點類型晚餐平均每人消費金額$200-400",2.0
rebirth,咖啡,7,88,0.14772727272727273,14,5,0.1590909090909091,0.056818181818181816,"用生命做菜的老闆,食物美味到骨子裡,雖然環境很underground,但確實是心目中臺北最美味的咖啡廳。服務體貼不客套,讓人非常自在。",5,"這是個很奇妙的地方,會讓你有種明明是在咖啡店但卻像是在熱炒店的感覺。 基本咖啡已經不是重點了,也不推薦對咖啡很講究和有文青包袱的人來。 餐點的部分很奇妙,菜單都在那寫的很凌亂的黑板上,出餐很慢,但是讓話匣子停不下的人能火力全開,然後出餐時,話也講的差不多了,這正是可以好好用餐的好時機。 記得,不要催老闆,不要嫌店內不乾淨,不要覺得店內太吵,不要認為店內員工服務態度不佳。 餐點的部分,這絕對不是最好吃的一間,但我可以用我的腰圍保證,老闆從那二坪到的廚房裡弄出來的東西絕對是他媽最有靈魂的店家之一,從餐點的火候之中,可以感覺到在約十坪大的店裡,有好幾張口等著吃飯的壓力,用料方面很隨興但是卻不隨便,即便等待時的話題已經從內子宮聊到外太空,但是東西一入口仍然可以感受老闆是用生命在做菜的那股力量。 今天我點的是炒麵。在點菜時有問了一下服務人員什麼是招牌,她簡單的把黑板上的菜色介紹一遍,但在那當下其實我也聽不太懂,後來就問她有什麼東西是最不健康,最容易三高,吃起來最開心的,於是她就不假思索的推薦了炒麵。 炒麵的內容很奇特,他用了很下酒菜的原素,花生,酸菜,小魚乾,另外加了老虎醬,是一道可以吃飽適合聊天的下酒菜,開胃也開話匣子,每個食材每一口在嘴裡就像是這家店的氛圍一樣熱鬧。 最後,看了一些評論,有人認為這是被咖啡耽誤的熱炒高手,在我心裡有更深一層對老闆的敬意,這是家氣氛跟餐點很到位的咖啡店,適合話癆,愛大聲講髒話,話語沒有邊界的人可以坐下好好開口聊天及吃飯的好地方。",13.0
rebirth,環境,8,75,-0.03333333333333333,14,18,0.18666666666666668,0.24,"每天都會有不一樣的菜單,餐點現做美味,份量十足可以加飯,飲品價格也算合理。內用不限時間,座位還有插座充電,店裡有整櫃漫畫可以看,還有室外的沙發區。環境略微吵雜,做菜時廚房會有陣陣香味飄散出來,老闆很有個性,店員服務態度不錯。最大的好處是營業到很晚,如果喜歡活潑的環境,很適合在這裡做事到很晚。唯一的缺點就是夏天蚊蟲有點多,建議擦個防蚊液。建議拜訪前先訂位,晚上尖峰時間常常客滿。",5,"定位:獨立咖啡廳 口味:★★★☆☆ 便宜:★★★☆☆ 特色:★★★★★ 環境:★☆☆☆☆ 人少:★★☆☆☆ 幾年前來過一次,印象蠻好的,但具體情形是如何已經忘了,趁近日剛好回訪記憶猶新(失望偏多)時,寫一下評論。 Rebirth是在台大學生之間蠻有名的店,是一間開到凌晨2點的深夜咖啡廳,有正餐(晚上6點後才供應)、飲料、甜點、鹹點。 正餐好吃且特別,似乎是每天更換菜單(所有餐飲的menu是寫在店內的大黑板上,但因店員的字跡很隨意 + 黑板長年沒擦乾淨 + 粉筆痕跡本來就容易被擦掉,所以有點難閱讀),店內有特別標明「正餐需要等」就有心理準備不會太快拿到餐,加上我點的是烤的,店員又有特別說要等比較久,結果就...真的等很久XD 朋友都吃完了,我的都還沒上。想去吃正餐的朋友要注意,說要等是真的要等蠻久的唷。 飲料的部分選擇不多,點了一般的拿鐵,口味偏澀,小失望。 環境部分是個人覺得最無法接受的。想要營造出文青或復古或環保感,不代表一定要髒髒臭臭的。廁所整潔算是場悲劇。",7.0
rebirth,店員,9,72,0.4722222222222222,24,2,0.3333333333333333,0.027777777777777776,"每天都會有不一樣的菜單,餐點現做美味,份量十足可以加飯,飲品價格也算合理。內用不限時間,座位還有插座充電,店裡有整櫃漫畫可以看,還有室外的沙發區。環境略微吵雜,做菜時廚房會有陣陣香味飄散出來,老闆很有個性,店員服務態度不錯。最大的好處是營業到很晚,如果喜歡活潑的環境,很適合在這裡做事到很晚。唯一的缺點就是夏天蚊蟲有點多,建議擦個防蚊液。建議拜訪前先訂位,晚上尖峰時間常常客滿。",5,"環境極小、空間感受不佳,髒髒亂亂的。 店員推薦的餐點也是讓我們大驚失色,已經很久沒有吃到這麼糟糕的咖啡店了。 服務也是差強人意,絕對不會再考慮光臨的店。 價格也普通,完全不知道為什麼還有四星的評價。",4.0
rebirth,飲料,10,57,0.45614035087719296,20,3,0.3508771929824561,0.05263157894736842,"台北廁所最髒的咖啡廳,店內開始上菜後整個就是熱炒店的油煙嗆,全身都是油煙味。食物和飲料是好吃的,但是是高級咖啡廳的價格,希望可以改善。",4,"路過覺得很酷~進來打發一下時間~哈哈哈是我很喜歡的那種感覺~舊舊的~暖暖的感覺 女生店員很貼心XD推薦我吃橘子塔我真的覺得很好吃欸!有點嚇到!橘子跟冰冰的派皮~沒吃過的組合~重點是剛端來橘子塔的帥帥店員說冰冰的吃跟放一下吃口感不同XD真的超酷!我很喜歡 飲料花釀!桂花喔!整個很搭很搭!真的很好喝!XD很難想像能在這裡吃到這樣的甜點跟飲料 可惜晚上有訂位我無法就久待~哈哈不然待到半夜順便吃個晚餐,看看書我覺得應該不錯~ 下次再來吧!路過發現小店還是驚喜",2.0
